Crop,Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
2,1,2,1.6760982315608794,-0.4629030078541721,-1.2910724168861014,0.91517891733017,0.7228502847178243,1,1.521971526030966,0.2746659223860217,1,133.56
0,2,1,0.562535402474241,-1.506922363737155,0.3323206498602918,-1.1926700099452714,-1.5033692438105173,2,0.0031004478430901304,0.5146880758127941,0,42.77
3,1,0,0.9453226249727722,1.1843513206410239,1.644851214463759,0.06626441785211556,1.3176205457728367,1,0.010067746366887578,0.6346991525261803,1,177.54
2,2,1,-0.9164152299064487,1.5601019424456142,0.021458147717365886,0.7419310602938324,-1.2685183697023465,2,-1.2858497790594654,0.6518435920566643,0,90.59
3,0,1,-0.3074355577496945,0.20028078191204968,0.8158845420826218,1.3887230598961589,-0.7043204117856755,0,-0.10837632853767151,0.12036596661166749,2,98.23
0,1,2,-1.003412325928842,-0.9738060969032915,0.9367755151382042,1.3425236313531357,-1.4700176403868719,1,0.9506530470795633,0.12036596661166749,2,58.8
0,3,0,0.6495324984966343,-1.2537456627206718,0.9367755151382042,0.49360913187508115,1.4135064056158182,1,1.6961539891259059,-0.49683385648574785,2,151.42
1,1,1,-0.18563962331834305,-0.7005572472861356,0.5741025959714572,1.4522472741428165,0.19617288065275462,2,-0.6657602104414793,1.4233433709284335,3,112.73
2,2,0,-0.18563962331834305,1.1367134212954277,-0.893859219703473,-0.25713158194904806,-0.6556826567928591,1,0.23302129912841063,0.017499329428764983,1,101.04
3,2,2,-0.3770332345676094,1.2335949918746736,1.0403963491858466,0.5109339175787155,1.5302370175985776,1,-0.1710820152518498,1.0633101407882743,1,187.15
1,3,2,0.5277365640652844,0.32660150377228253,1.6621213534716996,-1.0713965100198348,-1.261570118989087,2,-0.17804931377564748,-0.7025671308515529,2,65.74
1,2,2,-1.4035989676318532,1.735933964187506,-0.2894043544255606,-0.9270232958228869,-1.6103723047947136,0,-0.7633023897746456,0.25752148285553766,1,77.34
3,3,2,1.554302297129528,-1.5639272657630654,-0.393025188473203,-0.9963224386374221,0.2587071370720901,1,1.4732004363643831,0.3603881200384405,2,101.31
1,2,1,0.858325528950379,-1.3551769203160704,0.7986144030746819,-1.4871913669070453,-1.0934224517282072,2,-1.6481493022969405,1.2518989756235959,2,56.3
0,2,0,-0.09864252729594979,1.2175372729941356,-0.18578352037791887,0.30303648913510994,-0.05813309545254261,2,1.180573898364884,1.2861878546845633,3,135.48
0,0,1,0.11015050315779493,1.2127199573299743,1.4203394073605349,-1.4698665812034113,-0.17625335757795402,1,-0.024768746252100404,-0.6682782517905854,2,124.07
1,1,0,1.2237133322444318,0.013208356953781347,-1.6192050580369681,0.458959560467814,1.0924972226632292,2,1.2014757939362763,0.2403770433250537,0,151.9
3,3,2,0.6669319177011142,-1.4485793184712001,0.4359414839079342,-0.36108029617085086,0.7284088852884321,2,-1.000190539583764,-1.5597891073757408,0,134.17
1,3,2,-0.881616391497492,-0.9697916671831569,1.489419963392296,-1.637339509671871,1.5316266677412296,1,-0.8956810617268,0.7032769106481157,0,172.71
